gene	histoseg_dominant_structure	top05_fraction_inside	signed_distance_um	nonzero_cell_count	marker_class	cell_tissue_interpretation	external_evidence_note	uniprot_accession	uniprot_url	hpa_url	pubmed_query_url
LGR5	Structure 4	0.579193	-5.00	318509	intestinal epithelial stem-like marker	Structure 4 epithelial stem-like compartment.	UniProt describes LGR5 as an R-spondin receptor that potentiates Wnt signaling and marks intestinal epithelial stem cells.	O75473	https://www.uniprot.org/uniprotkb/O75473/entry	https://www.proteinatlas.org/search/LGR5	https://pubmed.ncbi.nlm.nih.gov/?term=LGR5+colon+polyp
MKI67	Structure 3	0.330801	50.00	129298	proliferation marker	Structure 3 proliferative epithelial compartment.	UniProt describes Ki-67 as a mitotic chromosome-associated protein, supporting proliferation interpretation.	P46013	https://www.uniprot.org/uniprotkb/P46013/entry	https://www.proteinatlas.org/search/MKI67	https://pubmed.ncbi.nlm.nih.gov/?term=MKI67+colon+polyp
PTPRC	Structure 5	0.872005	-35.00	206868	pan-leukocyte marker	Structure 5 leukocyte embedding confirms immune content in the stromal niche.	UniProt describes PTPRC/CD45 as a phosphatase required for T-cell activation and leukocyte signaling.	P08575	https://www.uniprot.org/uniprotkb/P08575/entry	https://www.proteinatlas.org/search/PTPRC	https://pubmed.ncbi.nlm.nih.gov/?term=PTPRC+colon+polyp
CD3D	Structure 5	0.873174	-35.00	87469	T-cell receptor complex marker	Structure 5 T-cell embedding within the stromal-immune niche.	UniProt places CD3D in the TCR-CD3 complex required for adaptive immune response.	P04234	https://www.uniprot.org/uniprotkb/P04234/entry	https://www.proteinatlas.org/search/CD3D	https://pubmed.ncbi.nlm.nih.gov/?term=CD3D+colon+polyp
CD3E	Structure 5	0.875511	-35.00	139262	T-cell receptor complex marker	Structure 5 T-cell embedding within the stromal-immune niche.	UniProt places CD3E in the TCR-CD3 complex required for adaptive immune response.	P07766	https://www.uniprot.org/uniprotkb/P07766/entry	https://www.proteinatlas.org/search/CD3E	https://pubmed.ncbi.nlm.nih.gov/?term=CD3E+colon+polyp
CD8A	Structure 5	0.732320	-20.00	65705	cytotoxic T-cell coreceptor	Structure 5 cytotoxic T-cell leaning signal with Structure 3 secondary fraction.	UniProt describes CD8A as an immune coreceptor for MHC class I peptide recognition in T cells.	P01732	https://www.uniprot.org/uniprotkb/P01732/entry	https://www.proteinatlas.org/search/CD8A	https://pubmed.ncbi.nlm.nih.gov/?term=CD8A+colon+polyp
CD4	Structure 5	0.736411	-30.00	117042	helper T-cell coreceptor	Structure 5 helper T-cell leaning signal.	UniProt describes CD4 as an immune coreceptor for MHC class II peptide recognition in T cells.	P01730	https://www.uniprot.org/uniprotkb/P01730/entry	https://www.proteinatlas.org/search/CD4	https://pubmed.ncbi.nlm.nih.gov/?term=CD4+colon+polyp
MS4A1	Structure 5	0.805377	-25.00	79187	B-cell marker	Structure 5 B-cell embedding within the stromal-immune niche.	UniProt describes MS4A1/CD20 as a B-lymphocyte membrane protein regulating calcium influx and B-cell activation/differentiation.	P11836	https://www.uniprot.org/uniprotkb/P11836/entry	https://www.proteinatlas.org/search/MS4A1	https://pubmed.ncbi.nlm.nih.gov/?term=MS4A1+colon+polyp
CD79A	Structure 5	0.790766	-25.00	83153	B-cell receptor complex marker	Structure 5 B-cell receptor signal within the stromal-immune niche.	UniProt describes CD79A as a B-cell antigen receptor component required for BCR signaling and B-cell differentiation.	P11912	https://www.uniprot.org/uniprotkb/P11912/entry	https://www.proteinatlas.org/search/CD79A	https://pubmed.ncbi.nlm.nih.gov/?term=CD79A+colon+polyp
LYZ	Structure 5	0.177674	80.62	614866	myeloid / monocyte-macrophage antimicrobial enzyme	Low-fraction myeloid signal shared between Structures 5 and 2; supports myeloid/perivascular interpretation cautiously.	UniProt describes lysozyme C as bacteriolytic and associated with the monocyte-macrophage system in tissues and fluids.	P61626	https://www.uniprot.org/uniprotkb/P61626/entry	https://www.proteinatlas.org/search/LYZ	https://pubmed.ncbi.nlm.nih.gov/?term=LYZ+colon+polyp
CD68	Structure 2	0.156634	80.00	271021	macrophage / phagolysosomal marker	Structure 2 macrophage-associated compartment with Structure 1 as secondary myeloid fraction.	UniProt describes CD68 as a macrophage-enriched molecule tied to phagocytic and lysosomal activity.	P34810	https://www.uniprot.org/uniprotkb/P34810/entry	https://www.proteinatlas.org/search/CD68	https://pubmed.ncbi.nlm.nih.gov/?term=CD68+colon+polyp
C1QA	Structure 2	0.270018	30.00	67042	classical-complement macrophage-lineage marker	Structure 2 complement-rich macrophage-associated compartment.	UniProt describes C1QA as part of the C1 complex that initiates the classical complement pathway.	P02745	https://www.uniprot.org/uniprotkb/P02745/entry	https://www.proteinatlas.org/search/C1QA	https://pubmed.ncbi.nlm.nih.gov/?term=C1QA+colon+polyp
PECAM1	Structure 5	0.538282	-5.00	201873	endothelial adhesion / transmigration marker	Weak Structure 5-dominant endothelial/vascular adjacency signal; treat as support, not a defining marker.	UniProt describes PECAM1 as an endothelial adhesion molecule required for leukocyte transendothelial migration.	P16284	https://www.uniprot.org/uniprotkb/P16284/entry	https://www.proteinatlas.org/search/PECAM1	https://pubmed.ncbi.nlm.nih.gov/?term=PECAM1+colon+polyp
RGS5	Structure 5	0.751607	-20.00	326806	pericyte-like vascular contractile marker	Structure 5 pericyte-like contractile vascular support signal.	UniProt describes RGS5 as a regulator of G-protein signaling; its vascular/pericyte read here is an interpretation from marker usage.	O15539	https://www.uniprot.org/uniprotkb/O15539/entry	https://www.proteinatlas.org/search/RGS5	https://pubmed.ncbi.nlm.nih.gov/?term=RGS5+colon+polyp
